database_id,scientificName,family,subfamily,genus,subgenus,subspecies,species,specificEpithet,infraspecificEpithet,acceptedNameUsage,taxonRank,scientificNameAuthorship,identificationQualifier,higherClassification,identificationReferences,typeStatus,previousIdentifications,verbatimIdentification,identifiedBy,dateIdentified,decimalLatitude,decimalLongitude,stateProvince,continent,locality,island,county,municipality,level0Gid,level0Name,level1Gid,level1Name,license,issue,eventDate,eventTime,day,month,year,basisOfRecord,country,type,occurrenceStatus,recordNumber,recordedBy,eventID,Location,samplingProtocol,samplingEffort,individualCount,organismQuantity,coordinatePrecision,coordinateUncertaintyInMeters,spatiallyValid,catalogNumber,gbifID,datasetID,institutionCode,datasetName,otherCatalogNumbers,occurrenceID,taxonKey,coreid,recordId,collectionID,verbatimScientificName,verbatimEventDate,associatedTaxa,associatedOrganisms,fieldNotes,sex,rights,rightsHolder,accessRights,associatedReferences,bibliographicCitation,references,informationWithheld,isDuplicateOf,hasCoordinate,hasGeospatialIssues,assertions,occurrenceYear,id,duplicateStatus,associatedOccurrences,locationRemarks,dataSource,verbatim_scientificName
Dorey_data_5861577,"Pseudoanthidium truncatum (Smith, 1854)",Megachilidae,Megachilinae,Pseudoanthidium,NA,NA,Pseudoanthidium truncatum,truncatum,NA,NA,SPECIES,"(Smith, 1854)",NA,NA,NA,HOLOTYPE,NA,NA,NA,NA,NA,NA,Kigoma,NA,NA,NA,NA,Ujiji,NA,NA,NA,NA,CC_BY_4_0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE,1931-08-15T00:00:00Z,NA,15,8,1931,PRESERVED_SPECIMEN,NA,NA,PRESENT,NA,James Ogilvie,NA,NA,NA,NA,1,NA,NA,NA,NA,AMNH_IZC 00323864,2804786613,NA,AMNH,AMNH Hymenoptera,NA,85fb767f-1f99-482f-896c-69dce8b59097,6138454,NA,NA,NA,Pachyanthidium truncatum (Smith),8/15/1931,NA,NA,NA,FEMALE,NA,American Museum of Natural History,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Megachilidae,NA
Dorey_data_10165552,"Macrotera arcuata (Fox, 1893)",Andrenidae,Panurginae,Macrotera,NA,NA,Macrotera arcuata,arcuata,NA,NA,NA,"(Fox, 1893)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Utah,NA,Leeds,NA,Washington,NA,NA,NA,NA,NA,NA,NA,1961-05-09T00:00:00Z,NA,9,5,1961,PreservedSpecimen,United states,NA,NA,NA,G.E. Bohart,NA,NA,NA,NA,NA,NA,NA,NA,NA,134602,NA,NA,USDA-ARS,NA,NA,658924587,NA,36ea338d-5f3a-4c19-9560-ddb4580ec4cf,NA,NA,Macrotera arcuata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_andrenidae,NA
Dorey_data_10621475,"Xanthesma furcifera (Cockerell, 1913)",Colletidae,Euryglossinae,Xanthesma,NA,NA,Xanthesma furcifera,furcifera,NA,NA,NA,"(Cockerell, 1913)",NA,NA,NA,NA,NA,NA,T.L. Griswold 1991,NA,NA,NA,South Australia,NA,"Lameroo, 6.5 km W",NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-01-14T00:00:00Z,NA,14,1,1982,PreservedSpecimen,Australia,NA,NA,NA,R.W. Thorp,NA,NA,NA,NA,NA,NA,NA,NA,NA,BBSL730638,NA,NA,USDA-ARS,NA,NA,659132560,NA,b3991342-f7bb-4f44-9c2a-ae2199af4b6c,NA,NA,Xanthesma furcifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_colletidae,NA
Dorey_data_11076793,"Exomalopsis solidaginis Cockerell, 1898",Apidae,Apinae,Exomalopsis,NA,NA,Exomalopsis solidaginis,solidaginis,NA,NA,NA,"Cockerell, 1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,NA,withheld,NA,SanBernardino,NA,NA,NA,NA,NA,NA,NA,1993-01-01T00:00:00Z,NA,1,1,1993,PreservedSpecimen,United states,NA,NA,NA,T.L. Griswold,NA,NA,NA,NA,NA,NA,NA,NA,NA,101736,NA,NA,USDA-ARS,NA,NA,658782272,NA,6094b3fd-93e3-468f-892d-cd204c4901fd,NA,NA,Exomalopsis solidaginis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_apidae,NA
Dorey_data_10862636,"Osmia bicolor (Schrank, 1781)",Megachilidae,Megachilinae,Osmia,NA,NA,Osmia bicolor,bicolor,NA,NA,NA,"(Schrank, 1781)",NA,NA,NA,NA,NA,Osmia bicolor,NA,NA,NA,NA,Viken,NA,Solbergfjellet [Nature Reserve] [South-West],NA,Drammen,NA,NA,NA,NA,NA,NA,NA,2010-04-09T00:00:00Z,NA,9,4,2010,Preservedspecimen,Norway,NA,NA,NA,Lars Ove Hansen,NA,NA,Pan trap,NA,1,NA,NA,NA,NA,55291,NA,NA,NHMO,NA,NA,urn:catalog:NHMO:ENT:55291,NA,0e04d9c2-eb92-4b19-b16d-e15092992aed,NA,NA,Osmia bicolor,NA,NA,NA,NA,1u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,NA,NA,iDigBio_megachilidae,NA
Paige_data_578468,"Augochlorella aurata (Smith, 1853)",Halictidae,Halictinae,Augochlorella,NA,NA,Augochlorella aurata,aurata,NA,NA,SPECIES,"(Smith, 1853)",NA,NA,NA,NA,NA,NA,NA,NA,41.40639,-74.01544,New York,NA,"Cornwall, Black Rock Forest, UTM 18-4584339N 582292E",NA,Orange Co.,NA,USA,United States,USA.33_1,New York,CC_BY_4_0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE,2003-09-30T00:00:00Z,NA,30,9,2003,PRESERVED_SPECIMEN,United states,NA,PRESENT,NA,J. G. Rozen & Valerie Giles,NA,NA,Pan Trap,NA,1,NA,NA,NA,NA,AMNH_BEE 00184511,2804767874,NA,AMNH,AMNH Hymenoptera,NA,85d962fe-d8e1-11e2-99a2-0026552be7ea,1352579,NA,NA,NA,Augochlorella aurata,9/30/2003,NA,NA,NA,FEMALE,NA,American Museum of Natural History,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Halictidae,NA
Dorey_data_5622826,"Megachile apicata Smith, 1853",Megachilidae,Megachilinae,Megachile,NA,NA,Megachile apicata,apicata,NA,NA,SPECIES,"Smith, 1853",NA,NA,NA,NA,NA,NA,NA,NA,-23.7,133.866667,Northern Territory,NA,Northern Territory Alice Springs 15 10 1994,NA,NA,NA,AUS,Australia,AUS.6_1,Northern Territory,CC_BY_4_0,NA,1994-10-15T00:00:00Z,NA,15,10,1994,OCCURRENCE,Australia,NA,PRESENT,HYM 43217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1655707387,NA,NA,NA,NA,06afb63d-cdce-4069-ab32-eed79e310039,1335640,NA,NA,NA,"Megachile apicata Smith, 1853",NA,host:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Unique,NA,NA,GBIF_Megachilidae,NA
Dorey_data_2194896,"Trigona dallatorreana Friese, 1900",Apidae,Apinae,Trigona,NA,NA,Trigona dallatorreana,dallatorreana,NA,NA,SPECIES,"Friese, 1900",NA,NA,NA,NA,NA,NA,NA,NA,1.198333,-70.173333,Vaupes,NA,Mitu,NA,NA,NA,COL,Colombia,COL.31_1,Vaupés,CC_BY_4_0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE,1990-09-01T00:00:00Z,NA,NA,9,1990,PRESERVED_SPECIMEN,Colombia,NA,PRESENT,NA,L. E. Pena,NA,NA,Netting,NA,1,NA,NA,NA,NA,AMNH_BEE 00044938,2804716582,NA,AMNH,AMNH Hymenoptera,NA,83e246c8-d8e1-11e2-99a2-0026552be7ea,5040806,NA,NA,NA,"Trigona dallatorreana Friese, 1900",7/9/1990,NA,NA,NA,FEMALE,NA,American Museum of Natural History,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Apidae,NA
Dorey_data_4277558,"Habropoda miserabilis (Cresson, 1878)",Apidae,Apinae,Habropoda,NA,NA,Habropoda miserabilis,miserabilis,NA,NA,SPECIES,"(Cresson, 1878)",NA,NA,NA,NA,NA,NA,"Brooks, Robert",NA,NA,NA,California,NORTH_AMERICA,Jalama Beach,NA,Santa Barbara,NA,NA,NA,NA,NA,CC_BY_4_0,COLLECTION_MATCH_FUZZY,1966-04-23T00:00:00Z,NA,23,4,1966,PRESERVED_SPECIMEN,NA,NA,PRESENT,NA,"Langston, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,1364590,1092732300,NA,KU,Snow Entomological Museum Collection,NA,f3fb1f8d-b1c5-4114-97b3-a35c3ac4f61c,1345237,NA,NA,NA,"Habropoda miserabilis (Cresson, 1879)",NA,NA,NA,NA,NA,NA,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Kept duplicate,NA,NA,GBIF_Apidae,NA
Dorey_data_8096032,"Lasioglossum sexstrigatum (Schenck, 1869)",Halictidae,Halictinae,Lasioglossum,NA,NA,Lasioglossum sexstrigatum,sexstrigatum,NA,NA,SPECIES,"(Schenck, 1869)",NA,Hymenoptera|Halictidae,NA,NA,NA,NA,det. H. Wiering,NA,NA,NA,NA,NA,"Utrecht, Lageweidse dijk",NA,NA,NA,NA,NA,NA,NA,CC0_1_0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_MATCH_FUZZY;AMBIGUOUS_INSTITUTION,1955-07-31T00:00:00Z,NA,31,7,1955,PRESERVED_SPECIMEN,NA,NA,PRESENT,NA,H. Wiering.,NA,NA,NA,NA,1,NA,NA,NA,NA,ZMA.INS.854817,2443812467,NA,NA,NA,NA,https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.854817,1354952,NA,NA,NA,"Lasioglossum sexstrigatum (Schenck, 1870)",31-VII-1955,NA,NA,NA,MALE,NA,Naturalis Biodiversity Center,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,Unique,NA,NA,GBIF_Halictidae,NA
