"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName",".scientificName_empty",".basisOfRecords_notStandard","countryCO","country_suggested","countryCode",".coordinates_country_inconsistent"
"Dorey_data_10165552","Macrotera arcuata (Fox, 1893)","Andrenidae","Panurginae","Macrotera",NA,NA,"Macrotera arcuata","arcuata",NA,NA,NA,"(Fox, 1893)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah",NA,"Leeds",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,"1961/05/09 00:00:00",NA,9,5,1961,"PreservedSpecimen","United states",NA,NA,NA,"G.E. Bohart",NA,NA,NA,NA,NA,NA,NA,NA,NA,"134602",NA,NA,"USDA-ARS",NA,NA,"658924587",NA,"36ea338d-5f3a-4c19-9560-ddb4580ec4cf",NA,NA,"Macrotera arcuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_andrenidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_10621475","Xanthesma furcifera (Cockerell, 1913)","Colletidae","Euryglossinae","Xanthesma",NA,NA,"Xanthesma furcifera","furcifera",NA,NA,NA,"(Cockerell, 1913)",NA,NA,NA,NA,NA,NA,"T.L. Griswold 1991",NA,NA,NA,"South Australia",NA,"Lameroo, 6.5 km W",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1982/01/14 00:00:00",NA,14,1,1982,"PreservedSpecimen","Australia",NA,NA,NA,"R.W. Thorp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBSL730638",NA,NA,"USDA-ARS",NA,NA,"659132560",NA,"b3991342-f7bb-4f44-9c2a-ae2199af4b6c",NA,NA,"Xanthesma furcifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_colletidae",NA,TRUE,TRUE,NA,"Australia","AU",TRUE
"Dorey_data_11076793","Exomalopsis solidaginis Cockerell, 1898","Apidae","Apinae","Exomalopsis",NA,NA,"Exomalopsis solidaginis","solidaginis",NA,NA,NA,"Cockerell, 1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,"withheld",NA,"SanBernardino",NA,NA,NA,NA,NA,NA,NA,"1993/01/01 00:00:00",NA,1,1,1993,"PreservedSpecimen","United states",NA,NA,NA,"T.L. Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,"101736",NA,NA,"USDA-ARS",NA,NA,"658782272",NA,"6094b3fd-93e3-468f-892d-cd204c4901fd",NA,NA,"Exomalopsis solidaginis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_10862636","Osmia bicolor (Schrank, 1781)","Megachilidae","Megachilinae","Osmia",NA,NA,"Osmia bicolor","bicolor",NA,NA,NA,"(Schrank, 1781)",NA,NA,NA,NA,NA,"Osmia bicolor",NA,NA,NA,NA,"Viken",NA,"Solbergfjellet [Nature Reserve] [South-West]",NA,"Drammen",NA,NA,NA,NA,NA,NA,NA,"2010/04/09 00:00:00",NA,9,4,2010,"Preservedspecimen","Norway",NA,NA,NA,"Lars Ove Hansen",NA,NA,"Pan trap",NA,1,NA,NA,NA,NA,"55291",NA,NA,"NHMO",NA,NA,"urn:catalog:NHMO:ENT:55291",NA,"0e04d9c2-eb92-4b19-b16d-e15092992aed",NA,NA,"Osmia bicolor",NA,NA,NA,NA,"1u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_megachilidae",NA,TRUE,TRUE,NA,"Norway","NO",TRUE
"Dorey_data_4277558","Habropoda miserabilis (Cresson, 1878)","Apidae","Apinae","Habropoda",NA,NA,"Habropoda miserabilis","miserabilis",NA,NA,"SPECIES","(Cresson, 1878)",NA,NA,NA,NA,NA,NA,"Brooks, Robert",NA,NA,NA,"California","NORTH_AMERICA","Jalama Beach",NA,"Santa Barbara",NA,NA,NA,NA,NA,"CC_BY_4_0","COLLECTION_MATCH_FUZZY","1966/04/23 00:00:00",NA,23,4,1966,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,"Langston, R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1364590",1092732300,NA,"KU","Snow Entomological Museum Collection",NA,"f3fb1f8d-b1c5-4114-97b3-a35c3ac4f61c",1345237,NA,NA,NA,"Habropoda miserabilis (Cresson, 1879)",NA,NA,NA,NA,NA,NA,NA,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms",NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Kept duplicate",NA,NA,"GBIF_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_8096032","Lasioglossum sexstrigatum (Schenck, 1869)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum sexstrigatum","sexstrigatum",NA,NA,"SPECIES","(Schenck, 1869)",NA,"Hymenoptera|Halictidae",NA,NA,NA,NA,"det. H. Wiering",NA,NA,NA,NA,NA,"Utrecht, Lageweidse dijk",NA,NA,NA,NA,NA,NA,NA,"CC0_1_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_MATCH_FUZZY;AMBIGUOUS_INSTITUTION","1955/07/31 00:00:00",NA,31,7,1955,"PRESERVED_SPECIMEN",NA,NA,"PRESENT",NA,"H. Wiering.",NA,NA,NA,NA,1,NA,NA,NA,NA,"ZMA.INS.854817",2443812467,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.854817",1354952,NA,NA,NA,"Lasioglossum sexstrigatum (Schenck, 1870)","31-VII-1955",NA,NA,NA,"MALE",NA,"Naturalis Biodiversity Center",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_11133610","Bombus bohemicus (Seidl, 1838)","Apidae","Apinae","Bombus",NA,NA,"Bombus bohemicus","bohemicus",NA,NA,"species","(Seidl, 1838)",NA,"Hymenoptera|Apidae",NA,NA,NA,NA,"Roos M.",NA,NA,NA,"Gelderland",NA,"Beek, bij Nijmegen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946/05/01 00:00:00",NA,1,5,1946,"PreservedSpecimen","Bonaire, saint eustatius and saba",NA,NA,NA,"Verhoeff P.M.F.",NA,NA,NA,NA,1,NA,NA,NA,NA,"ZMA.INS.618449",NA,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.618449",NA,"f2c62d27-92e4-4548-947d-26cce8a2a241",NA,NA,"Bombus (Psithyrus) bohemicus Seidl, 1837","1-5-1946",NA,NA,NA,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,"Bonaire, Sint Eustatius and Saba","BQ",TRUE
"Dorey_data_12067726","Bombus lapidarius (Linnaeus, 1758)","Apidae","Apinae","Bombus",NA,NA,"Bombus lapidarius","lapidarius",NA,NA,"subspecies","(Linnaeus, 1758)",NA,"Hymenoptera|Apidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Klanxb?ll",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1938/09/03 00:00:00",NA,3,9,1938,"PreservedSpecimen","Germany",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"ZMA.INS.826785",NA,NA,NA,NA,NA,"https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.826785",NA,"20c990cd-1f9b-47c1-91fb-eea69223878a",NA,NA,"Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758","3.9.38",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duplicate",NA,NA,"iDigBio_apidae",NA,TRUE,TRUE,NA,"Germany","DE",TRUE
"Dorey_data_13814561","Svastra duplocincta (Cockerell, 1905)","Apidae","Apinae","Svastra",NA,NA,"Svastra duplocincta","duplocincta",NA,NA,NA,"(Cockerell, 1905)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,"Tucson Airport",NA,"Pima Co.",NA,NA,NA,NA,NA,NA,NA,"2009/08/30 00:00:00",NA,30,8,2009,"PreservedSpecimen","United states",NA,NA,NA,"J. S. Ascher",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00149848",NA,NA,"AMNH",NA,NA,"8566d720-d8e1-11e2-99a2-0026552be7ea",NA,NA,"urn:uuid:aa9e4fa7-bda0-48fe-b57d-9e896679c819","66acc5ec-da39-42c7-811a-824c25f96161","Svastra duplocincta Cockerell, 1905","8/30/2009",NA,NA,NA,"Female","http://creativecommons.org/licenses/by-nc/4.0/","AMNH","Not-for-profit use only",NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49477280",NA,NA,NA,NA,NA,NA,"49477280","Duplicate",NA,NA,"SCAN_Apidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
"Dorey_data_15555860","Agapostemon femoratus Crawford, 1901","Halictidae","Halictinae","Agapostemon",NA,NA,"Agapostemon femoratus","femoratus",NA,NA,NA,"Crawford, 1901",NA,NA,NA,NA,NA,NA,"Roberts, R","1967",NA,NA,"Utah",NA,"Curley Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1949/08/24 00:00:00",NA,24,8,1949,"PreservedSpecimen","United states",NA,NA,NA,"Knowlton, George",NA,NA,NA,NA,NA,NA,NA,NA,NA,"495099",NA,NA,"KU",NA,NA,"25158400-1ed6-11e3-bfac-90b11c41863e",NA,NA,"urn:uuid:d0bcadb0-6079-457e-8a22-6e7e8155805d","c45886f1-3524-42f4-a113-4e4e193505a8","Agapostemon (Agapostemon) femoratus","1949-8-24","Cleome",NA,NA,"M","http://creativecommons.org/publicdomain/zero/1.0/","The University of Kansas Natural History Museum",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=15585170",NA,NA,NA,NA,NA,NA,"15585170","Duplicate",NA,NA,"SCAN_Halictidae",NA,TRUE,TRUE,NA,NA,NA,TRUE
