"database_id","scientificName","family","subfamily","genus","subgenus","subspecies","species","specificEpithet","infraspecificEpithet","acceptedNameUsage","taxonRank","scientificNameAuthorship","identificationQualifier","higherClassification","identificationReferences","typeStatus","previousIdentifications","verbatimIdentification","identifiedBy","dateIdentified","decimalLatitude","decimalLongitude","stateProvince","continent","locality","island","county","municipality","level0Gid","level0Name","level1Gid","level1Name","license","issue","eventDate","eventTime","day","month","year","basisOfRecord","country","type","occurrenceStatus","recordNumber","recordedBy","eventID","Location","samplingProtocol","samplingEffort","individualCount","organismQuantity","coordinatePrecision","coordinateUncertaintyInMeters","spatiallyValid","catalogNumber","gbifID","datasetID","institutionCode","datasetName","otherCatalogNumbers","occurrenceID","taxonKey","coreid","recordId","collectionID","verbatimScientificName","verbatimEventDate","associatedTaxa","associatedOrganisms","fieldNotes","sex","rights","rightsHolder","accessRights","associatedReferences","bibliographicCitation","references","informationWithheld","isDuplicateOf","hasCoordinate","hasGeospatialIssues","assertions","occurrenceYear","id","duplicateStatus","associatedOccurrences","locationRemarks","dataSource","verbatim_scientificName","countryCO","country_suggested","countryCode","iso_a3","countryMatch"
"Paige_data_578468","Augochlorella aurata (Smith, 1853)","Halictidae","Halictinae","Augochlorella",NA,NA,"Augochlorella aurata","aurata",NA,NA,"SPECIES","(Smith, 1853)",NA,NA,NA,NA,NA,NA,NA,NA,41.40639,-74.01544,"New York",NA,"Cornwall, Black Rock Forest, UTM 18-4584339N 582292E",NA,"Orange Co.",NA,"USA","United States","USA.33_1","New York","CC_BY_4_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","2003/09/30 00:00:00",NA,30,9,2003,"PRESERVED_SPECIMEN","United states",NA,"PRESENT",NA,"J. G. Rozen & Valerie Giles",NA,NA,"Pan Trap",NA,1,NA,NA,NA,NA,"AMNH_BEE 00184511",2804767874,NA,"AMNH","AMNH Hymenoptera",NA,"85d962fe-d8e1-11e2-99a2-0026552be7ea",1352579,NA,NA,NA,"Augochlorella aurata (Smith, 1853)","9/30/2003",NA,NA,NA,"FEMALE",NA,"American Museum of Natural History",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Halictidae",NA,"United States",NA,NA,"USA","exact"
"Dorey_data_2194896","Trigona dallatorreana Friese, 1900","Apidae","Apinae","Trigona",NA,NA,"Trigona dallatorreana","dallatorreana",NA,NA,"SPECIES","Friese, 1900",NA,NA,NA,NA,NA,NA,NA,NA,1.198333,-70.173333,"Vaupes",NA,"Mitu",NA,NA,NA,"COL","Colombia","COL.31_1","Vaupés","CC_BY_4_0","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE","1990/09/01 00:00:00",NA,1,9,1990,"PRESERVED_SPECIMEN","Colombia",NA,"PRESENT",NA,"L. E. Pena",NA,NA,"Netting",NA,1,NA,NA,NA,NA,"AMNH_BEE 00044938",2804716582,NA,"AMNH","AMNH Hymenoptera",NA,"83e246c8-d8e1-11e2-99a2-0026552be7ea",5040806,NA,NA,NA,"Trigona dallatorreana Friese, 1900","7/9/1990",NA,NA,NA,"FEMALE",NA,"American Museum of Natural History",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,"Colombia","Colombia","CO","COL","exact"
"Dorey_data_10104519","Perdita bishoppi Cockerell, 1906","Andrenidae","Panurginae","Perdita",NA,NA,"Perdita bishoppi","bishoppi",NA,NA,NA,"Cockerell, 1906",NA,NA,NA,NA,NA,NA,"Timberlake, P",NA,49.85,-112.73,"Alberta","Nearctic","Picture Butte, 3 mi SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1978/08/06 00:00:00",NA,6,8,1978,"PreservedSpecimen","Canada",NA,NA,NA,"Michener, Charles",NA,NA,NA,NA,NA,NA,NA,NA,NA,"290613",NA,NA,"KU","Snow Entomological Museum Collection",NA,"207b8e36-1ed6-11e3-bfac-90b11c41863e",NA,"07eef054-8735-4d95-b8dc-d1c0b3c181b8",NA,NA,"Perdita bishoppi Cockerell, 1906",NA,"Solidago missouriensis",NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique",NA,NA,"iDigBio_andrenidae",NA,"Canada","Canada","CA","CAN","neighbour"
"Dorey_data_664973","Trichotrigona camargoiana Pedro and Cordeiro, 2015","Apidae","Apinae","Trichotrigona",NA,NA,"Trichotrigona camargoiana","camargoiana",NA,NA,"SPECIES","Pedro and Cordeiro, 2015",NA,NA,NA,"PARATYPE",NA,NA,NA,NA,-8.783333,-63.733333,"Rondônia",NA,"3,5km W margem esquerda do Rio Candeias",NA,NA,"Candeias do Jamari","BRA","Brazil","BRA.22_1","Rondônia","CC_BY_NC_4_0","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE","2011/04/17 00:00:00",NA,17,4,2011,"PRESERVED_SPECIMEN","Brazil","Collection","PRESENT",NA,"Pedro & Cordeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"905C- 011",1949806936,NA,"USP-RP","RPSP - Coleção Entomológica “Prof. J.M.F. Camargo”, FFCLRP/USP",NA,"BRA:USP-RP:RPSP:905C-011",8495749,NA,NA,NA,"Trichotrigona camargoiana Pedro and Cordeiro, 2015",NA,NA,NA,NA,"FEMALE",NA,"RPSP - Coleção Entomológica “Prof. J.M.F. Camargo”, FFCLRP/USP",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,"Brazil","Brazil","BR","BRA","exact"
"Paige_data_850222","Bombus impatiens Cresson, 1863","Apidae","Apinae","Bombus",NA,NA,"Bombus impatiens","impatiens",NA,NA,"SPECIES","Cresson, 1863",NA,NA,NA,NA,NA,NA,"Claire O'Neill","2018-07-27T17:08:38",42.36955,-71.14429,"Massachusetts",NA,NA,NA,NA,NA,"USA","United States","USA.22_1","Massachusetts","CC_BY_NC_4_0",NA,"2018/07/27 00:00:00","19:46:00Z",27,7,2018,"HUMAN_OBSERVATION","United states",NA,"PRESENT",NA,"Claire O'Neill",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14792670",2237415185,NA,"iNaturalist","iNaturalist research-grade observations",NA,"https://www.inaturalist.org/observations/14792670",1340350,NA,NA,NA,"Bombus impatiens Cresson, 1863","2018/07/27 9:46 AM HST",NA,NA,NA,NA,NA,"Claire O'Neill",NA,NA,NA,"https://www.inaturalist.org/observations/14792670",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,"United States",NA,NA,"USA","exact"
"Paige_data_972502","Bombus pensylvanicus (De Geer, 1773)","Apidae","Apinae","Bombus",NA,NA,"Bombus pensylvanicus","pensylvanicus",NA,NA,"SPECIES","(De Geer, 1773)",NA,NA,NA,NA,NA,NA,"John Ascher","2018-01-25T00:29:09",33.06052,-96.96245,"Texas",NA,NA,NA,NA,NA,"USA","United States","USA.44_1","Texas","CC_BY_NC_4_0","COORDINATE_ROUNDED","2013/08/25 00:00:00","13:33:00Z",25,8,2013,"HUMAN_OBSERVATION","United states",NA,"PRESENT",NA,"Denver Kramer",NA,NA,NA,NA,NA,NA,NA,29012,NA,"5629210",1836683288,NA,"iNaturalist","iNaturalist research-grade observations",NA,"https://www.inaturalist.org/observations/5629210",1340416,NA,NA,NA,"Bombus pensylvanicus (De Geer, 1773)","2013/08/25 8:33 AM CDT",NA,NA,NA,NA,NA,"Denver Kramer",NA,NA,NA,"https://www.inaturalist.org/observations/5629210",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Apidae",NA,"United States",NA,NA,"USA","exact"
"Paige_data_2186791","Stelis perpulchra Crawford, 1916","Megachilidae","Megachilinae","Stelis",NA,NA,"Stelis perpulchra","perpulchra",NA,NA,"SPECIES","Crawford, 1916",NA,NA,NA,NA,NA,NA,"Ascher, J","2005-01-01T00:00:00",23.96684,-109.9177,"Baja California Sur","SOUTH_AMERICA","Los Planes, 2 km E",NA,NA,NA,"MEX","Mexico","MEX.2_1","Baja California Sur","CC_BY_4_0","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY","1994/04/10 00:00:00",NA,10,4,1994,"PRESERVED_SPECIMEN","Mexico",NA,"PRESENT",NA,"Rodriguez, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"329188",657943543,NA,"KU","Snow Entomological Museum Collection",NA,"2a48f670-1ed6-11e3-bfac-90b11c41863e",5038500,NA,NA,NA,"Stelis perpulchra Crawford, 1916",NA,"Prosopis articulata",NA,NA,NA,NA,NA,"http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms",NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Megachilidae",NA,"Mexico","Mexico","MX","MEX","exact"
"Dorey_data_6963886","Lasioglossum albipenne (Robertson, 1890)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum albipenne","albipenne",NA,NA,"GENUS","(Robertson, 1890)",NA,NA,NA,NA,NA,NA,"Robert L. Minckley",NA,31.32532,-109.223,"Sonora",NA,"30 km east of Agua Prieta",NA,"Municipio de Agua Prieta",NA,"MEX","Mexico","MEX.26_1","Sonora","CC_BY_NC_4_0","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE","2004/07/31 00:00:00",NA,31,7,2004,"PRESERVED_SPECIMEN","Mexico",NA,"PRESENT",NA,"J. Arturo Romero",NA,NA,"white pan trap",NA,NA,NA,NA,NA,NA,"SBV055664",2847316254,NA,"RLMC",NA,NA,"73cd8976-c45c-43b7-9d6b-013690dcd0b8",1353501,NA,NA,"43c894af-a05d-4c92-833c-83e1ebd68701","Lasioglossum albipenne (Robertson, 1890)","31-Jul-04",NA,NA,NA,"FEMALE","http://creativecommons.org/licenses/by-nc/4.0/","Robert Minckley",NA,NA,NA,"https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43915981",NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Halictidae",NA,"Mexico","Mexico","MX","MEX","neighbour"
"Dorey_data_7737996","Lasioglossum laticeps (Schenck, 1869)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum laticeps","laticeps",NA,NA,"SPECIES","(Schenck, 1869)",NA,NA,NA,NA,NA,NA,"Neumeyer-Funk Rainer",NA,46.15693,8.7008,"Ti",NA,NA,NA,NA,NA,"CHE","Switzerland","CHE.21_1","Ticino","CC_BY_4_0",NA,"1997/04/08 00:00:00",NA,8,4,1997,"HUMAN_OBSERVATION","Switzerland",NA,"PRESENT",NA,"Moretti Marco",NA,NA,"Combined trap",NA,NA,NA,NA,3535,NA,"CSCF-API-729267",3119343125,"CSCF-API","WSL","Swiss National Apoidea Databank",NA,"CSCF-API-729267",1354102,NA,NA,NA,"Lasioglossum laticeps (Schenck, 1869)",NA,NA,NA,NA,"FEMALE",NA,"Info Fauna - Centre Suisse de Cartographie de la Faune",NA,"Obrist M.K., Wermelinger B., Moretti M., Gossner M.M., Duelli P. 2021. Hymenoptera. EnviDat. http://doi.org/10.16904/envidat.200",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Halictidae",NA,"Switzerland","Switzerland","CH","CHE","exact"
"Paige_data_1500478","Lasioglossum foxii (Robertson, 1895)","Halictidae","Halictinae","Lasioglossum",NA,NA,"Lasioglossum foxii","foxii",NA,NA,"SPECIES","(Robertson, 1895)",NA,NA,NA,NA,NA,NA,"Sam Droege",NA,38.9952,-76.9458,"Maryland",NA,NA,NA,"Prince George's","College Park","USA","United States","USA.21_1","Maryland","CC0_1_0","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE","2015/04/03 00:00:00",NA,3,4,2015,"PRESERVED_SPECIMEN","United states",NA,"PRESENT",NA,"Dejen Mengis","USGS_DRO14796",NA,"trapType:pan trap; trapCount:9; trapVolume:in field note; trapColor:in field note; trapLiquid:glycol propylene",NA,NA,NA,NA,500,NA,"SamplingEventNumber:USGS_DRO14796 | SpecimenNumber:USGS_DRO427643",1456811000,NA,"BISON","USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)",NA,"USGS_DRO427643",1354803,NA,NA,"https://bison.usgs.gov/ipt/resource?r=usgs-pwrc-biml","Lasioglossum foxii (Robertson, 1895)","StartDateTime:20150327xxxxxx; EndDateTime:20150403xxxxxx",NA,NA,"""3 UV-blue, 3 UV-yellow, 3 white cups with stands""","FEMALE",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,"Unique",NA,NA,"GBIF_Halictidae",NA,"United States",NA,NA,"USA","exact"
