"scientificName",".scientificName_empty",".coordinates_empty",".coordinates_outOfRange",".basisOfRecords_notStandard",".coordinates_country_inconsistent",".occurrenceAbsent",".unLicensed",".GBIFflags",".uncer_terms",".invalidName",".rou",".val",".equ",".zer",".cap",".cen",".gbf",".inst",".sequential",".lonFlag",".latFlag",".gridSummary",".uncertaintyThreshold",".countryOutlier",".sea",".eventDate_empty",".year_outOfRange",".duplicates","total","totalFailed","percentFailed"
"Augochlorella aurata (Smith, 1853)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,100
"Trigona dallatorreana Friese, 1900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,100
"Perdita bishoppi Cockerell, 1906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,100
"Trichotrigona camargoiana Pedro and Cordeiro, 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bombus cingulatus Wahlberg, 1854",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
"Bombus impatiens Cresson, 1863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Bombus pensylvanicus (De Geer, 1773)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100
"Bombus hypnorum (Linnaeus, 1758)",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,100
"Stelis perpulchra Crawford, 1916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,100
"Lasioglossum albipenne (Robertson, 1890)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
