"database_id","id","catalogNumber","occurrenceID","dataSource",".scientificName_empty",".coordinates_empty",".coordinates_outOfRange",".basisOfRecords_notStandard",".coordinates_country_inconsistent",".occurrenceAbsent",".unLicensed",".GBIFflags",".summary",".uncer_terms",".invalidName",".rou",".val",".equ",".zer",".cap",".cen",".gbf",".inst",".sequential",".lonFlag",".latFlag",".gridSummary",".uncertaintyThreshold",".countryOutlier",".sea",".eventDate_empty",".year_outOfRange",".duplicates"
"Dorey_data_5861577",NA,"AMNH_IZC 00323864","85fb767f-1f99-482f-896c-69dce8b59097","GBIF_Megachilidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE
"Dorey_data_10165552",NA,"134602","658924587","iDigBio_andrenidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_10621475",NA,"BBSL730638","659132560","iDigBio_colletidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_11076793",NA,"101736","658782272","iDigBio_apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_10862636",NA,"55291","urn:catalog:NHMO:ENT:55291","iDigBio_megachilidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Paige_data_578468",NA,"AMNH_BEE 00184511","85d962fe-d8e1-11e2-99a2-0026552be7ea","GBIF_Halictidae",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_5622826",NA,NA,"06afb63d-cdce-4069-ab32-eed79e310039","GBIF_Megachilidae",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_2194896",NA,"AMNH_BEE 00044938","83e246c8-d8e1-11e2-99a2-0026552be7ea","GBIF_Apidae",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"Dorey_data_4277558",NA,"1364590","f3fb1f8d-b1c5-4114-97b3-a35c3ac4f61c","GBIF_Apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_8096032",NA,"ZMA.INS.854817","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.854817","GBIF_Halictidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_11133610",NA,"ZMA.INS.618449","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.618449","iDigBio_apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE
"Dorey_data_12067726",NA,"ZMA.INS.826785","https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.826785","iDigBio_apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE
"Dorey_data_13814561","49477280","AMNH_BEE 00149848","8566d720-d8e1-11e2-99a2-0026552be7ea","SCAN_Apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
"Dorey_data_15555860","15585170","495099","25158400-1ed6-11e3-bfac-90b11c41863e","SCAN_Halictidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE
"Dorey_data_12578317","61353163","INHS Insect Collection 343610","85311084-bc68-4ff4-91b9-ccb70a344030","SCAN_Apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,TRUE
"Dorey_data_16704162","60029034","FLG-3493","BRA:USP-RP:RPSP:FLG-3493","SCAN_Apidae",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE
